Jalan	Gang	Perumahan_Blok_Komplek	Blok	RT	RW	Kelurahan	Kecamatan	Kota_Kab	Jumlah_Entri_Alamat_Sama
Sepinggan Baru				33		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Baru				37		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Sepinggan Baru 2				34		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Baru II				38		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Sepinggan Baru III						Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Sibayak		Pt. Her II Mandiri 2 Jln. Sibayak	X	48		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Sibayak		Pt. Her Mandiri 2 Jln. Sibayak	X	48		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Sma 4		Sepinggan Regency	B	62		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Smu Negeri 4				46		Sepinggan	Balikpapan Selatan	Kota Balikpapan	7
Smun 4	Merdeka Bersama II		C	62		Sepinggan	Balikpapan Selatan	Kota Balikpapan	5
Taman Sepinggan V						Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Taman Sepinggan V				32		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Telaga Mas						Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Telaga Mas		Griya Telaga Mas	I			Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Telagamas	Soraya 2		E1	52		Sepinggan	Balikpapan Selatan	Kota Balikpapan	1
Teratai Merah						Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Teratai Merah				31		Sepinggan	Balikpapan Selatan	Kota Balikpapan	3
Teratai Merah				56		Sepinggan	Balikpapan Selatan	Kota Balikpapan	2
Tirtasari				14		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Transad	Perjuangan		R	50		Sepinggan	Balikpapan Selatan	Kota Balikpapan	4
Umaq Suling	Fajar			39		Sepinggan	Balikpapan Selatan	Kota Balikpapan	6
			FA4			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
			FA			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
			E-1			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
						Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	98
			B			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
			CE			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
			FB			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	6
			M/21			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
			CE2			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
			K1			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
			I			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
			H-17			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
			I1			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	9
			CD			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
			BH			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
			D9			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
			BO-04			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	4
			EB			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
	Ende Mentarang					Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	7
	Bhineka 1		G			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	1
			CD2			Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	5
				01		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
				11		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	3
			B	12		Sepinggan Baru	Balikpapan Selatan	Kota Balikpapan	2
